compiler	symptom	workaround	url	commit		
gcc	rejects-valid	switching libraries	 https://github.com/pavel532/libdeflate/commit/d045a4933585fceef38d235727c49d9eac61cd61	Don't use ARM CRC32 intrinsics when affected by gcc bug 104439The following build error was reported athttps://github.com/ebiggers/libdeflate/pull/163:    /tmp/ccAwbDTP.s:140: Error: selected processor does not support crc32b r0,r0,r3' in ARM mode    [followed by lots of similar errors]This is caused by https://gcc.gnu.org/bugzilla/show_bug.cgi?id=104439, agcc bug that has been fixed.  To work around this, disable buildingcrc32_arm() as dynamically-dispatched code on the affected gcc versions.		
gcc	environment	disabling components	 https://github.com/spack/spack/commit/6e36c71d6873d5b2feb9494f670b0277a9e68649	Fix GCC 8 build on macOS bigsur %apple-clang@12.0.5 (#28795)* gcc: revise patch range on darwin* gcc: add conflict to work around bootstrap failurecloses #23296 . See https://gcc.gnu.org/bugzilla/show_bug.cgi?id=100340.```Comparing stages 2 and 3Bootstrap comparison failure!gcc/tree-ssa-operands.o differsgcc/tree-ssanames.o differsgcc/ipa-inline.o differsgcc/tree-ssa-pre.o differsgcc/gimple-loop-interchange.o differs...```639 total differences.* gcc: bump conflict up to correct later version		
gcc	c++-feature,crash	restricting compiler versions	 https://github.com/rohankumardubey/scyllaDB/commit/33f8ec09df309b055766aec5c2845f0c4e525bd4	Merge 'treewide: improve compatibility with gcc 11' from Avi KivityOur source base drifted away from gcc compatibility; this mostlyrestores the ability to build with gcc. An important exception iscoroutines that have an initializer list [1]; this still doesn't work.We aim to switch back to gcc 11 if/when this gives us betterC++ compatibility and performance.Test: unit (dev)[1] https://gcc.gnu.org/bugzilla/show_bug.cgi?id=98056Closes #9459* github.com:scylladb/scylla:  test: radix_tree_printer: avoid template specialization in class context  test: raft: avoid ignored variable errors  test: reader_concurrency_semaphore_test: isolate from namespace of source_location  test: cql_query_test: drop unused lambda assert_replication_not_contains  test: commitlog_test: don't use deprecated seastar::unaligned_cast  test: adjust signed/unsigned comparisons in loops and boost tests  build: silence some gcc 11 warnings  sstables: processing_result_generator: make coroutine support palatable for C++20 compilers  managed_bytes: avoid compile-time loop in converting constructor  service: service_level_controller: drop unused variable sl_compare  raft: disambiguate promise name in raft::active_read  locator: azure_snitch: use full type name in definition of globals  cql3: statements: create_service_level_statement: don't ignore replace_defaults()  cql3: statement_restrictions: adjust call to std::vector deduction guide  types: remove recursive constraint in deserialize_value  cql3: restrictions: relax constraint on visitor_with_binary_operator_content  treewide: handle switch statements that return  cql3: expr: correct type of captured map value_type  cdc: adjust type of streams_count  alternator: disambiguate attrs_to_get in table_requests		
gcc	c++-feature	refactoring	 https://github.com/M680x0/M680x0-mono-repo/commit/6cd232056c3cdaf5e9eb85ede8e42d0db97f0f71	[MLIR][NFC] Inline lambda to workaround gcc 9.1,9.2 buggcc 9.1/9.2 has a bug (https://gcc.gnu.org/bugzilla/show_bug.cgi?id=90538)which leads to an incorrect error when expanding parameter packs multipletimes in a lambda. Inlining this lambda to work around this issue.Reviewed By: rriddle, CarolineConcattoDifferential Revision: https://reviews.llvm.org/D81828		
gcc	c++-feature,crash	refactoring	https://github.com/longturn/freeciv21/commit/0df9a42647cb904d51ab2b225539edb81982382d	Try to work around a crash on GCC 9https://gcc.gnu.org/bugzilla/show_bug.cgi?id=60855		
gcc	c++-feature,rejects-valid	refactoring	 https://github.com/facebook/fbthrift/commit/dced3aebffd498459a562546e1636ebf1bdbaef4	Workaround a gcc issue (#495)Summary:Works around the following error when building with gcc:```thrift/lib/cpp2/GeneratedCodeHelper.h:991:16: error: 闁炽儲螜rocessor闁?was not declared in this scope                processor,                ^~~~~~~~~```Likely the gcc bug https://gcc.gnu.org/bugzilla/show_bug.cgi?id=71546.Pull Request resolved: https://github.com/facebook/fbthrift/pull/495Test Plan: https://github.com/facebook/fbthrift/runs/6066858917Reviewed By: iahsDifferential Revision: D35726038Pulled By: vitautfbshipit-source-id: b536f30995546c6a6843fa41cd57d7186b765896		
gcc	diagnostic	refactoring	 https://github.com/php/php-src/commit/150ebfdf77320b24b0358f8a903e90d7940ad4a4	Suppress bogus [-Wlogical-op] warning from GCCSee GCC bug 69602: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=69602which emits the warning for (errno == EWOULDBLOCK || errno == EAGAIN)which is the correct way of handling errors as the value of EWOULDBLOCKand EAGAIN is implementation defined.Therefore introduce a new macro function PHP_IS_TRANSIENT_ERROR()which handles the case when EWOULDBLOCK and EAGAIN are identical.Thanks to @twose for the idea.		
gcc	diagnostic	refactoring	 https://github.com/ARM-software/armnn/commit/e118e0423d6ec95c9894a987db671844f8220117	Bugfix: GCC-11 stringop-overread warning treated as error * Occured in Ubuntu Impish * GCC Bug: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=99578Signed-off-by: Francis Murtagh <francis.murtagh@arm.com>Change-Id: Ic2b1ae64bb2f1362ec3eb5c2b7a829deee2e9018		
gcc	diagnostic	refactoring	 https://github.com/xcd0/qmk_firmware/commit/a535d24ecfd465124cdb255e53b5cc301cbda6d9	core: chibios: bootloader: use integer pointers as volatile (#13450)This prevents gcc from incorrectly trying to validate array bounds.```tmk_core/common/chibios/bootloader.c: error: '__builtin_memcpy' offset [0, 21] is out of the bounds [0, 0] [-Werror=array-bounds]  107 |     __builtin_memcpy((void *) VBAT, (const void *)sys_reset_to_loader_magic, sizeof(sys_reset_to_loader_magic));      |     ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~```See https://gcc.gnu.org/bugzilla/show_bug.cgi?id=99578#c16Fixes #12925		
gcc	diagnostic	suppressing warning messages	 https://github.com/haraldkl/aotus/commit/8447c59aa1dc46f4bf74ce662fc38671a92889c2	Do not warn about maybe uninitialized values for GCC, as it doesnot work properly, see:https://gcc.gnu.org/bugzilla//show_bug.cgi?id=86117#c5		
gcc	diagnostic	refactoring	 https://github.com/BelledonneCommunications/bcg729/commit/dcfa63fc9d52d7fc761d5fb253e8ece8b11e06c8	Fix #10: Making it build on debian jessieAvoiding missing-braces error wich is apparently a GCC bug (https://gcc.gnu.org/bugzilla/show_bug.cgi?id=53119)		
