keyword	url	commit
clang workaround	 https://github.com/zxySeaStar/esp32-idf-zy/commit/1e2b1238c6a03c941e81a422b7cebe5f3dd795fd	cbor: add a workaround for -ffreestanding being passed to clangToolchain CMake files for clang currently pass -ffreestanding optionto prevent clang from picking the wrong copy of stdint.h. This is atemporary hack until we fix clang distributions to not include theGCC version of stdint.h. This hack, however, results in setting__STDC_HOSTED__=0, which is being checked by cbor header files,making some required functions unavailable as a result.Undefine __STDC_HOSTED__ as a workaround. This flag is only passedwhen compiling cbor itself.
clang workaround	 https://github.com/zx2c4/linux-rng/commit/d3b351f65bf42ccda1f686de3ccb21ea1a0c4f5a	selftests/bpf: Fix a clang compilation error for send_signal.cBuilding selftests/bpf with latest clang compiler (clang15 builtfrom source), I hit the following compilation error:  /.../prog_tests/send_signal.c:43:16: error: variable 'j' set but not used [-Werror,-Wunused-but-set-variable]                  volatile int j = 0;                               ^  1 error generated.The problem also exists with clang13 and clang14. clang12 is okay.In send_signal.c, we have the following code ...  volatile int j = 0;  [...]  for (int i = 0; i < 100000000 && !sigusr1_received; i++)    j /= i + 1;... to burn CPU cycles so bpf_send_signal() helper can be testedin NMI mode.Slightly changing 'j /= i + 1' to 'j /= i + j + 1' or 'j++' canfix the problem. Further investigation indicated this should bea clang bug ([1]). The upstream fix will be proposed later. But itis a good idea to workaround the issue to unblock people who buildkernel/selftests with clang.  [1] https://discourse.llvm.org/t/strange-clang-unused-but-set-variable-error-with-volatile-variables/60841Signed-off-by: Yonghong Song <yhs@fb.com>Signed-off-by: Daniel Borkmann <daniel@iogearbox.net>Link: https://lore.kernel.org/bpf/20220311003721.2177170-1-yhs@fb.com
clang workaround	 https://github.com/zpplibs/zpp-crc32c/commit/6ebe1931028febe1bf2759e2001790157225ea83	workaround for zig clang macos arm64 bug
clang workaround	 https://github.com/Zopolis4/gcj/commit/164a761a9f4798dc69ecab80097807636dc17d61	libstdc++: Use __cpp_concepts instead of custom macro [PR103891]With the new value of __cpp_concepts required by P2493, we can testwhether the compiler supports conditionally trivial special members.This allows us to remove the workaround that disables fully-constexprstd::variant for Clang. Now it should work for non-GCC compilers (suchas future releases of Clang) that support conditionally trivialdestructors and define the new value of __cpp_concepts.libstdc++-v3/ChangeLog:
clang workaround	 https://github.com/Zirias/zfbsd-ports/commit/9724b5e9e0b31a29080565f3bbbd7f3f4fcf3499	security/libtasn1: remove clang workaroundThe previously applied clang 10+ workaround which lowered -Ooptimization to -O1 appears to be no longer needed according to theupstream issue https://gitlab.com/gnutls/libtasn1/-/issues/30.PR:
clang workaround	 https://github.com/Zirias/zfbsd-ports/commit/846ff4e9529104b008946f89b9fb3d3a27c13773	java/openjdk11: Restore LLVM/Clang 13 workaroundThis restores the previous LLVM/Clang 13 workaround.  I had thoughtthe upstream changes would address this, but still seeing reports ofcrashes when compiled with LLVM/Clang 13.PR:
clang workaround	 https://github.com/Zirias/zfbsd-ports/commit/15328c5dfa085018b5980eb1e7959b9f50fca41d	cad/horizon-eda: Add back the workaround for clang crash that was mistakenly removed earlierReported by:
clang workaround	 https://github.com/zhaobijun/tg/commit/ac8ccaf9703ba016015a7187e74891f751c944e9	Workaround clang 3.4 warning.
clang workaround	 https://github.com/zhaobijun/tg/commit/ac5e1960f9c06ff186779111f618821d623f758f	Workaround clang 3.4 bug.
clang workaround	 https://github.com/ZhangYanTJU/OpenFOAM-ESI/commit/29f7fcc515c14eb42429cec53ae1c888403ddc7e	COMP: workaround clang-13 optimization issue (vtk handling)
clang workaround	 https://github.com/zephyrproject-rtos/sdk-ng-testing/commit/f29d2718d8267acd3eea4cdb71e6bfb0843b3d58	gcc: Pull in Clang 9 bug workaroundPull in the workaround to fix building with Clang 9.This is required to support building GCC on the macOS 11 and above.Signed-off-by: Stephanos Ioannidis <root@stephanos.io>
clang workaround	 https://github.com/zephyrproject-rtos/sdk-ng/commit/f29d2718d8267acd3eea4cdb71e6bfb0843b3d58	gcc: Pull in Clang 9 bug workaroundPull in the workaround to fix building with Clang 9.This is required to support building GCC on the macOS 11 and above.Signed-off-by: Stephanos Ioannidis <root@stephanos.io>
clang workaround	 https://github.com/yzgyyang/freebsd-ports/commit/9724b5e9e0b31a29080565f3bbbd7f3f4fcf3499	security/libtasn1: remove clang workaroundThe previously applied clang 10+ workaround which lowered -Ooptimization to -O1 appears to be no longer needed according to theupstream issue https://gitlab.com/gnutls/libtasn1/-/issues/30.PR:
clang workaround	 https://github.com/yzgyyang/freebsd-ports/commit/846ff4e9529104b008946f89b9fb3d3a27c13773	java/openjdk11: Restore LLVM/Clang 13 workaroundThis restores the previous LLVM/Clang 13 workaround.  I had thoughtthe upstream changes would address this, but still seeing reports ofcrashes when compiled with LLVM/Clang 13.PR:
clang workaround	 https://github.com/yzgyyang/freebsd-ports/commit/15328c5dfa085018b5980eb1e7959b9f50fca41d	cad/horizon-eda: Add back the workaround for clang crash that was mistakenly removed earlierReported by:
clang workaround	 https://github.com/youling257/android-mainline/commit/d3b351f65bf42ccda1f686de3ccb21ea1a0c4f5a	selftests/bpf: Fix a clang compilation error for send_signal.cBuilding selftests/bpf with latest clang compiler (clang15 builtfrom source), I hit the following compilation error:  /.../prog_tests/send_signal.c:43:16: error: variable 'j' set but not used [-Werror,-Wunused-but-set-variable]                  volatile int j = 0;                               ^  1 error generated.The problem also exists with clang13 and clang14. clang12 is okay.In send_signal.c, we have the following code ...  volatile int j = 0;  [...]  for (int i = 0; i < 100000000 && !sigusr1_received; i++)    j /= i + 1;... to burn CPU cycles so bpf_send_signal() helper can be testedin NMI mode.Slightly changing 'j /= i + 1' to 'j /= i + j + 1' or 'j++' canfix the problem. Further investigation indicated this should bea clang bug ([1]). The upstream fix will be proposed later. But itis a good idea to workaround the issue to unblock people who buildkernel/selftests with clang.  [1] https://discourse.llvm.org/t/strange-clang-unused-but-set-variable-error-with-volatile-variables/60841Signed-off-by: Yonghong Song <yhs@fb.com>Signed-off-by: Daniel Borkmann <daniel@iogearbox.net>Link: https://lore.kernel.org/bpf/20220311003721.2177170-1-yhs@fb.com
clang workaround	 https://github.com/YoeDistro/yoe-distro/commit/8cdd0fa028a944ecc094cbf54a0dcd549efafc55	Layer Updates:  sources/meta-clang* sources/meta-clang 03648d6...d5219d8 (5):  > libraw: Workaround clang hang on RISCV compiling libraw  > opensbi: Enable clang as compiler for opensbi  > libcxx: Install unwind_itanium.h and unwind_arm_ehabi.h  > bcc: Upgrade to 0.24.0  > clang: Upgrade to upcoming clang14 release branchSigned-off-by: Khem Raj <raj.khem@gmail.com>
clang workaround	 https://github.com/YaAlex3/kernel_samsung_r7/commit/0b8ca09c2e3a033b7d6adec9da8325ab1814994b	ANDROID: enable ARM64_ERRATUM_843419 by default with LTO_CLANGThis reverts a workaround we needed with an old version of thetoolchain.Bug: 145210207Change-Id: If28b9f97da21c046adff7d5a58943a4fc06cb390Signed-off-by: Sami Tolvanen <samitolvanen@google.com>Signed-off-by: Diab Neiroukh <lazerl0rd@thezest.dev>
clang workaround	 https://github.com/y2kbadbug/freebsd-ports-y2kbadbug/commit/9724b5e9e0b31a29080565f3bbbd7f3f4fcf3499	security/libtasn1: remove clang workaroundThe previously applied clang 10+ workaround which lowered -Ooptimization to -O1 appears to be no longer needed according to theupstream issue https://gitlab.com/gnutls/libtasn1/-/issues/30.PR:
clang workaround	 https://github.com/y2kbadbug/freebsd-ports-y2kbadbug/commit/846ff4e9529104b008946f89b9fb3d3a27c13773	java/openjdk11: Restore LLVM/Clang 13 workaroundThis restores the previous LLVM/Clang 13 workaround.  I had thoughtthe upstream changes would address this, but still seeing reports ofcrashes when compiled with LLVM/Clang 13.PR:
